id;nomSrtm;arrondissement;adresse;codePostal;ville;telephone;ouvRes;dateFerm;dateOuv;phoId;gpsLon;gpsLat;equCom;coordLogo;coordName;adresseComp;fax;equHanSiGestionComplete
327;Alain Mimoun;12;15 rue de la Nouvelle Calédonie;75012;Paris;01 44 87 00 50;V;May 12, 2022 9:00:00 AM;May 12, 2022 12:00:00 PM;676.0;2.41041;48.83805;INCIDENT TECHINIQUE;;;;;
326;Alain Mimoun;12;15 rue de la Nouvelle Calédonie;75012;Paris;01 44 87 00 50;V;May 12, 2022 9:00:00 AM;May 12, 2022 12:00:00 PM;96.0;2.41041;48.83805;INCIDENT TECHNIQUE;534,281,551,301;537,299,596,315;;;
2;Amandiers;20;8 rue Louis Delgrès (adresse principale);75020;Paris;01 43 58 36 47;F;Nov 11, 2021 6:00:00 PM;Nov 11, 2021 10:00:00 PM;680.0;2.38669;48.8656;Fermeture;470,154,487,174;429,173,483,186;au n°12 accès technique et IS / au n°6 terrains extérieurs;01 46 36 82 82;
12;Atlantique;15;25 allée du Capitaine Dronne -;75015;Paris;01 43 35 06 24;V;Mar 15, 2022 7:00:00 PM;Mar 15, 2022 10:00:00 PM;;2.3174;48.83957;;;;Dalle Montparnasse porche ouest;;V
85;Aurelle de Paladines;17;10, rue Parmentier;92200;Neuilly sur Seine;01 46 24 27 36;V;Nov 11, 2021 6:00:00 PM;Nov 11, 2021 8:00:00 PM;683.0;2.28208;48.88309;FERME;166,88,184,105;180,104,289,116;;01 47 66 11 87;
92;Bertrand Dauvin;18;12 rue René Binet;75018;Paris;01 44 92 73 32;V;Jan 6, 2022 8:00:00 AM;Jan 6, 2022 4:00:00 PM;684.0;2.34235;48.89949;Personnel absent;343,21,360,41;281,6,366,22;;;
560;Bobigny;19;40 - 102, avenue de la Division Leclerc;93000;Bobigny;;V;Jun 26, 2022 2:00:00 PM;Jun 26, 2022 6:00:00 PM;;2.4202;48.90956;BIKE POLO;;;;;
53;Candie;11;11 rue Candie;75011;Paris;01 43 55 84 95;V;Nov 11, 2021 6:00:00 PM;Nov 11, 2021 8:00:00 PM;688.0;2.38002;48.85138;;;;;01 8482 1612;
54;Candie;11;11 rue Candie;75011;Paris;01 43 55 84 95;V;Jun 24, 2021 12:00:00 PM;Jun 24, 2021 1:00:00 PM;687.0;2.38002;48.85138;jour f¿ri¿;452,219,469,239;456,240,494,252;;01 8482 1612;
58;Carnot;12;26 boulevard Carnot;75012;Paris;01 43 45 01 06;V;May 26, 2022 7:00:00 PM;May 26, 2022 10:00:00 PM;692.0;2.4128;48.84297;DIVERS;539,258,556,278;553,273,586,287;;01 43 42 42 05;
